state,weight,per person
AKBlackAdults 19-25Female,9.917978319299394e-06,2.0915442725304234
AKBlackAdults 26-34Male,2.9753934957898182e-05,4.082210791028685
AKBlackAdults 26-34Female,1.9835956638598787e-05,2.7987570940521205
AKBlackAdults 35-54Male,3.9671913277197574e-05,3.0754867096822496
AKBlackAdults 35-54Female,1.9835956638598787e-05,1.581411523132759
AKBlackAdults 55-64Male,0.0,0.0
AKBlackAdults 55-64Female,3.9671913277197574e-05,5.894352040767557
AKBlack65+Male,9.917978319299394e-06,1.4549417951092274
AKBlack65+Female,1.9835956638598787e-05,2.9925172012997097
AKHispanicAdults 19-25Male,8.926180487369455e-05,5.75271914958537
AKHispanicAdults 19-25Female,6.942584823509576e-05,4.601397399566933
AKHispanicAdults 26-34Male,0.0001487696747894909,6.414902671616503
AKHispanicAdults 26-34Female,9.917978319299395e-05,4.3980468620819035
AKHispanicAdults 35-54Male,0.0003074573278982812,7.49100691429748
AKHispanicAdults 35-54Female,0.0003074573278982812,7.703733276975299
AKHispanicAdults 55-64Male,8.926180487369455e-05,4.053052128116966
AKHispanicAdults 55-64Female,0.0001686056314280897,7.873170225882382
AKHispanic65+Male,0.00013885169647019153,6.401743898480602
AKHispanic65+Female,0.00021819552302458666,10.345559467350425
AKAsianAdults 19-25Male,0.0,0.0
AKAsianAdults 19-25Female,0.0,0.0
AKAsianAdults 26-34Male,0.0,0.0
AKAsianAdults 26-34Female,9.917978319299394e-06,0.5131054672428889
AKAsianAdults 35-54Male,1.9835956638598787e-05,0.5638392301084124
AKAsianAdults 35-54Female,1.9835956638598787e-05,0.5798508918153451
AKAsianAdults 55-64Male,9.917978319299394e-06,0.5253956462373843
AKAsianAdults 55-64Female,1.9835956638598787e-05,1.0806312074740523
AKAsian65+Male,1.9835956638598787e-05,1.0669573164134336
AKAsian65+Female,1.9835956638598787e-05,1.097256307143227
AKAmerican Indian/Alaska NativeAdults 19-25Male,3.9671913277197574e-05,1.1852548652567354
AKAmerican Indian/Alaska NativeAdults 19-25Female,2.9753934957898182e-05,0.9141849138212448
AKAmerican Indian/Alaska NativeAdults 26-34Male,1.9835956638598787e-05,0.3965061253979297
AKAmerican Indian/Alaska NativeAdults 26-34Female,4.958989159649697e-05,1.0194148355818984
AKAmerican Indian/Alaska NativeAdults 35-54Male,6.942584823509576e-05,0.7841472736607064
AKAmerican Indian/Alaska NativeAdults 35-54Female,5.9507869915796364e-05,0.6912129836209412
AKAmerican Indian/Alaska NativeAdults 55-64Male,3.9671913277197574e-05,0.8350659277945184
AKAmerican Indian/Alaska NativeAdults 55-64Female,1.9835956638598787e-05,0.4293898837645242
AKAmerican Indian/Alaska Native65+Male,2.9753934957898182e-05,0.6359348243523777
AKAmerican Indian/Alaska Native65+Female,5.9507869915796364e-05,1.3079876508992112
AKNative Hawaiian/Other Pacific IslanderAdults 19-25Male,0.0,0.0
AKNative Hawaiian/Other Pacific IslanderAdults 19-25Female,0.0,0.0
AKNative Hawaiian/Other Pacific IslanderAdults 26-34Male,0.0,0.0
AKNative Hawaiian/Other Pacific IslanderAdults 26-34Female,0.0,0.0
AKNative Hawaiian/Other Pacific IslanderAdults 35-54Male,0.0,0.0
