state,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Male,Female
WI,0.811,0.062,0.071,0.03,0.007,0,0.02,0.11038961,0.150649351,0.325974026,0.185714286,0.227272727,0.493,0.507
WY,0.838,0.01,0.101,0.006,0.022,0,0.021,0.110814419,0.156208278,0.323097463,0.18024032,0.229639519,0.509,0.491
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,,,,,,,,
