,2016 - D,2016 - R,2012 - D,2012 - R,2008 - D,2008 - R,2004 - D,2004 - R,2000 - D,2000 - R,1996 - D,1996 - R,1992 - D,1992 - R,1988 - D,1988 - R,1984 - D,1984 - R,1980 - D,1980 - R,1976 - D,1976 - R,1972 - D,1972 - R,1968 - D,1968 - R,1964 - D,1964 - R
AL,34.36,62.08,38.36,60.55,38.74,60.32,36.84,62.46,41.57,56.48,43.16,50.12,40.88,47.65,39.86,59.17,38.28,60.54,47.45,48.75,55.73,42.61,25.54,72.43,18.72,13.99,30.55,69.45
AK,36.55,51.28,40.81,54.8,37.89,59.42,35.52,61.07,27.67,58.62,33.27,50.8,30.29,39.46,36.27,59.59,29.87,66.65,26.41,54.35,35.65,57.9,34.62,58.13,42.65,45.28,65.91,34.09
AZ,45.13,48.67,44.59,53.65,45.12,53.64,44.4,54.87,44.73,51.02,46.52,44.29,36.52,38.47,38.74,59.95,32.54,66.42,28.24,60.61,39.8,56.37,30.38,61.64,35.02,54.78,49.45,50.45
AR,33.65,60.57,36.88,60.57,38.86,58.72,44.55,54.31,45.86,51.31,53.74,36.8,53.21,35.48,42.19,56.37,38.29,60.47,47.52,48.13,64.94,34.93,30.71,68.82,30.33,31.01,56.06,43.41
CA,61.73,31.62,60.24,37.12,61.01,36.95,54.31,44.36,53.45,41.65,51.1,38.21,46.01,32.61,47.56,51.13,41.27,57.51,35.91,52.69,47.57,49.35,41.54,55,44.74,47.82,59.11,40.79
CO,48.16,43.25,51.49,46.13,53.66,44.71,47.02,51.69,42.39,50.75,44.43,45.8,40.13,35.87,45.28,53.06,35.12,63.44,31.07,55.07,42.58,54.05,34.59,62.61,41.32,50.46,61.27,38.19
CT,54.57,40.93,58.06,40.73,60.59,38.22,54.31,43.95,55.91,38.44,52.83,34.69,42.21,35.78,46.87,51.98,38.83,60.73,38.52,48.16,46.9,52.06,40.13,58.57,49.48,44.32,67.81,32.09
DE,53.09,41.72,58.61,39.98,61.94,36.95,53.35,45.75,54.96,41.9,51.8,36.58,43.52,35.78,43.48,55.88,39.93,59.78,44.87,47.21,51.98,46.57,39.18,59.6,41.61,45.12,60.95,38.78
DC,90.48,4.07,90.91,7.28,92.46,6.53,89.18,9.34,85.16,8.95,85.19,9.34,84.64,9.1,82.65,14.3,85.38,13.73,74.89,13.41,81.63,16.51,78.1,21.56,81.82,18.18,85.5,14.5
FL,47.82,49.02,50.01,49.13,51.03,48.22,47.09,52.1,48.84,48.85,48.02,42.32,39,40.89,38.51,60.87,34.66,65.32,38.5,55.52,51.93,46.64,27.8,71.91,30.93,40.53,51.15,48.85
GA,45.64,50.77,45.48,53.3,46.99,52.2,41.37,57.97,42.98,54.67,45.84,47.01,43.47,42.88,39.5,59.75,39.79,60.17,55.76,40.95,66.74,32.96,24.65,75.04,26.75,30.4,45.87,54.12
HI,62.22,30.03,70.55,27.84,71.85,26.58,54.01,45.26,55.79,37.46,56.93,31.64,48.09,36.7,54.27,44.75,43.82,55.1,44.8,42.9,50.59,48.06,37.52,62.48,59.83,38.7,78.76,21.24
ID,27.49,59.26,32.62,64.53,36.09,61.52,30.26,68.38,27.64,67.17,33.65,52.18,28.42,42.03,36.01,62.08,26.39,72.36,25.19,66.46,37.12,59.88,26.04,64.24,30.66,56.79,50.92,49.08
IL,55.83,38.76,57.6,40.73,61.92,36.78,54.82,44.48,54.6,42.58,54.32,36.81,48.58,34.34,48.6,50.69,43.3,56.17,41.72,49.65,48.13,50.1,40.51,59.03,44.15,47.08,59.47,40.53
IN,37.91,56.82,43.93,54.13,49.95,48.91,39.26,59.94,41.01,56.65,41.55,47.13,36.79,42.91,39.69,59.84,37.68,61.67,37.65,56.01,45.7,53.32,33.34,66.11,37.99,50.29,55.98,43.56
IA,41.74,51.15,51.99,46.18,53.93,44.39,49.23,49.9,48.54,48.22,50.26,39.92,43.29,37.27,54.71,44.5,45.89,53.27,38.6,51.31,48.46,49.47,40.48,57.61,40.82,53.01,61.88,37.92
KS,36.05,56.65,37.99,59.71,41.65,56.61,36.62,62,37.24,58.04,36.08,54.29,33.74,38.88,42.56,55.79,32.6,66.27,33.29,57.85,44.94,52.49,29.5,67.66,34.72,54.84,54.09,45.06
KY,32.68,62.52,37.8,60.49,41.17,57.4,39.69,59.55,41.37,56.5,45.84,44.88,44.55,41.34,43.88,55.52,39.37,60.04,47.61,49.07,52.75,45.57,34.77,63.37,37.65,43.79,64.01,35.65
LA,38.45,58.09,40.58,57.78,39.93,58.56,42.22,56.72,44.88,52.55,52.01,39.94,45.58,40.97,44.06,54.27,38.18,60.77,45.75,51.2,51.73,45.95,28.35,65.32,28.21,23.47,43.19,56.81
